Размер   Процессов  Чтение(мс)  Умножение(мс)  Запись(мс)  Всего(мс) 
---------------------------------------------------------------- 
200     1         0           45            108         153       
200     2         0           24            110         134       
200     4         0           13            102         115       
200     8         0           17            107         124       
400     1         0           354           415         769       
400     2         0           207           431         638       
400     4         0           134           521         655       
400     8         0           94            455         549       
800     1         0           3304          1936        5240      
800     2         0           1802          1920        3722      
800     4         0           1096          1986        3082      
800     8         0           744           1869        2613      
1200    1         0           10779         4281        15060     
1200    2         0           6524          4469        10993     
1200    4         0           4050          4622        8672      
1200    8         0           2908          6328        9236      
1600    1         0           42441         17218       59659     
1600    2         0           43318         13990       57308     
1600    4         0           21763         12861       34624     
1600    8         0           13743         13933       27676     
2000    1         0           87276         17418       104694    
2000    2         0           75249         19737       94986     
2000    4         0           52261         22684       74945     
2000    8         0           25425         20220       45645     
   
