Размер   Блок       Чтение(мс)  Умножение(мс)  Всего(мс)
----------------------------------------------------------------------
200     4         10            0               10          
200     8         11            0               11          
200     16        11            0               11          
200     32        12            0               12          
400     4         43            1               44          
400     8         44            0               44          
400     16        42            0               42          
400     32        42            0               42          
800     4         171           8               179         
800     8         169           4               173         
800     16        168           4               172         
800     32        166           4               170         
1200    4         380           31              411         
1200    8         423           20              443         
1200    16        812           18              830         
1200    32        784           20              804         
1600    4         692           129             821         
1600    8         699           39              738         
1600    16        718           52              770         
1600    32        715           37              752         
2000    4         1137          162             1299        
2000    8         1098          79              1177        
2000    16        1094          66              1160        
2000    32        1989          98              2087        
